id,title,title_doiorg,title_openalex,authors,authors_doiorg,authors_openalex,authors_count_doiorg,authors_count_openalex,venue,year,abstract_doiorg,abstract_openalex,abstract_semantic,tldr,primary_topic,keywords,concepts,reference_count,citation_count,is_open_access,Label
0,"Proceedings 41st International Conference on Logic Programming, ICLP 2025, Rende, Italy, 12-19th September 2025.",Proceedings 41st International Conference on Logic Programming,Proceedings 41st International Conference on Logic Programming,Paul Tarau,"Martin Gebser, Daniela Inclezan, Francesco Ricca, Manuel Carro, Miroslaw Truszczynski","Martin Gebser, Daniela Inclezan, Francesco Ricca, Manuel Carro, Mirosław Truszczyński",5,5,iclp,2026,"Since the first conference in Marseille in 1982, the International Conference on Logic Programming (ICLP) has been the premier international event for presenting research in logic programming. These proceedings include the Technical Communications of the 41st ICLP, held on 12-19 September 2025 at the University of Calabria in Rende, Italy. The papers and extended abstracts in this volume address the following areas and topics: theoretical foundations, language design and programming methodologies, program analysis and optimization, applications and implementation methodologies. This volume features contributions to three submission tracks of ICLP 2025: the Main track, IJCAI fast track, and Recently Published Research track.","Since the first conference in Marseille in 1982, the International Conference on Logic Programming (ICLP) has been the premier international event for presenting research in logic programming. These proceedings include the Technical Communications of the 41st ICLP, held on 12-19 September 2025 at the University of Calabria in Rende, Italy. The papers and extended abstracts in this volume address the following areas and topics: theoretical foundations, language design and programming methodologies, program analysis and optimization, applications and implementation methodologies. This volume features contributions to three submission tracks of ICLP 2025: the Main track, IJCAI fast track, and Recently Published Research track.",,,"Logic, Reasoning, and Knowledge","Logic programming, Event (particle physics), Volume (thermodynamics), Logic program, Horn clause","Computer science, Logic programming, Event (particle physics), Programming language, Software engineering, Volume (thermodynamics), Operations research, Logic program, Horn clause, Event data",0,0,False,1
1,Conditionals and Temporal Conditionals for Gradual Argumentation.,,,,,,0,0,iclp,2025,,,,"The approach exploits a two-valued temporal conditional logic with typicality, combining a preferential logic with Linear Time Temporal Logic (LTL) to introduce a dynamic dimension to conditional reasoning in gradual argumentation, enabling the verification of conditional properties across time.",,,,46,0,False,1
2,Learning and Contesting Assumption-based Argumentation Frameworks (Invited Talk).,,,"Ofer Arieli, Jesse Heyninck",,,0,0,iclp,2025,,,,"An overview of ABA Learn, a recent approach to symbolic machine learning, which makes use of transformation rules to draw ABA frameworks from a background knowledge and positive and negative examples and how to deal with contestability.",,,,0,0,False,2
3,Agentified Argumentative Learning (short paper).,,,,,,0,0,iclp,2025,,,,,,,,0,0,False,1
4,Empowering Public Interest Communication with Argumentation - Project Report (short paper).,,,Alejandra Casas Niño de Rivera,,,0,0,iclp,2025,,,,"A summary of the technical results of the EPICA project is provided and future research direction is discussed, which discusses future research direction.",,,,10,0,False,1
5,Early Insights into Argumentation-Guided Causal Evaluation with the Help of LLMs.,,,"Shuang Wang, Wenjie Chen, Yang Zhang, Ting Chen, Jian Du",,,0,0,iclp,2025,,,,"This work investigates the causal factors underlying energy use in DNN training, using structure learning algorithms such as the PC algorithm to derive candidate causal graphs and introduces a novel approach to evaluate each inferred link through formal argumentation, showing potential for rendering causal claims more transparent and contestable.",,,,52,0,False,2
6,Some Enhancements to the Prolog Playground and ALD Notebooks for the Modern Prolog Classroom.,,,,,,0,0,iclp,2025,,,,"This paper reports on (and demo) some recent important extensions of the Prolog Playground which include being able to develop the notebooks with embedded running examples and quizzes now directly within the Playground, also being able to develop slides with such examples and quizzes as well as doing presentations within the Playground.",,,,17,0,False,3
7,Temporal Conditional Reasoning with Weighted Knowledge Bases.,,,Christian Eichhorn,,,0,0,iclp,2025,,,,"A temporal, conditional logic with typicality is introduced, which combines a multi-preferential conditional logic, allowing for defeasible reasoning, with the temporal modalities of Linear Time Temporal Logic.",,,,29,0,False,3
8,Teaching ASP (and Its Users) to Share Code: Abstract (Invited Talk).,,,Terri Lindenberg,,,0,0,iclp,2025,,,,"This talk presents a new approach to code reuse in logic programming through ASP templates, now integrated into the ASP Chef platform, and introduces a new mechanism for integrating ASP with third-party frameworks.",,,,0,0,False,4
9,A Preliminary Evaluation of Open-Source LLMs for Datalog-Based Semantic Parsing in the ASVIN Project.,,,"Amad Atiq, George Ubakanma, Muddesar Iqbal",,,0,0,iclp,2025,,,,"This study lays the groundwork for a full-stack integration of LLM-based reasoning in virtual retail assistants by comparing performance across a range of open models including Mistral, Gemma, Qwen, and DeepSeek.",,,,24,0,False,1
