id,title,title_doiorg,title_openalex,authors,authors_doiorg,authors_openalex,authors_count_doiorg,authors_count_openalex,doi,venue,year,abstract_doiorg,abstract_openalex,primary_topic,keywords,concepts,Label
299,Tabled CLP for Reasoning Over Stream Data.,C-SWRL: SWRL for Reasoning over Stream Data,C-SWRL: SWRL for Reasoning over Stream Data,"Edmond Jajaga, Lule Ahmedi","Edmond Jajaga, Lule Ahmedi","Edmond Jajaga, Lule Ahmedi",2,2,10.1109/icsc.2017.64,iclp,2016,,"Semantic technologies have been extensively used for integrating stream data applications. However, using SWRL, which has become the de facto standard rule language in Semantic Web, has never been used in stream data applications. Its open world assumption and monotonic nature makes SWRL powerless for doing continuous inference over stream data. For example, using aggregate functions on a particular window of streams cannot be expressed in SWRL. C-SPARQL is a framework which supports continuous querying over data streams. We introduce here C-SWRL, a unified Semantic Web stream reasoning system that further supports continuous reasoning over stream data. C-SWRL utilizes C-SPARQL filtering and aggregation of RDF streams to enable closed-world and time-aware reasoning with SWRL rules. Moreover, the non-monotonic behavior is supported with the use of OWLAPI constructs. The system is presented by means of examples in water quality monitoring.",Semantic Web and Ontologies,"SPARQL, Computer science, Semantic Web Rule Language, Semantic Web, RDF, Linked data, Database, Information retrieval, Semantic computing, Semantic analytics","SPARQL, Computer science, Semantic Web Rule Language, Semantic Web, RDF, Linked data, Database, Information retrieval, Semantic computing, Semantic analytics",1
92,"XAI-LAW: A Logic Programming Tool for Modeling, Explaining, and Learning Legal Decisions.","XAI-LAW: A Logic Programming Tool for Modeling, Explaining, and Learning Legal Decisions","XAI-LAW: A Logic Programming Tool for Modeling, Explaining, and Learning Legal Decisions","Agostino Dovier, Talissa Dreossi, Andrea Formisano, Benedetta Strizzolo","Agostino Dovier, Talissa Dreossi, Andrea Formisano, Benedetta Strizzolo","Agostino Dovier, Talissa Dreossi, Andrea Formisano, Benedetta Strizzolo",4,4,10.4204/eptcs.439.28,iclp,2025,,"We propose an approach to model articles of the Italian Criminal Code (ICC), using Answer Set Programming (ASP), and to semi-automatically learn legal rules from examples based on prior judicial decisions. The developed tool is intended to support legal experts during the criminal trial phase by providing reasoning and possible legal outcomes. The methodology involves analyzing and encoding articles of the ICC in ASP, including ""crimes against the person"" and property offenses. The resulting model is validated on a set of previous verdicts and refined as necessary. During the encoding process, contradictions may arise; these are properly handled by the system, which also generates possible decisions for new cases and provides explanations through a tool that leverages the ""supportedness"" of stable models. The automatic explainability offered by the tool can also be used to clarify the logic behind judicial decisions, making the decision-making process more interpretable. Furthermore, the tool integrates an inductive logic programming system for ASP, which is employed to generalize legal rules from case examples.","Logic, Reasoning, and Knowledge","Set (abstract data type), Logic programming, Process (computing), Encoding (memory), Property (philosophy), Code (set theory), Inductive logic programming","Computer science, Set (abstract data type), Logic programming, Process (computing), Encoding (memory), Property (philosophy), Artificial intelligence, Code (set theory), Programming language, Inductive logic programming, Software engineering, Horn clause, Non-monotonic logic, Logic program, Inductive programming, Computer programming, Legal expert system, Answer set programming, Expert system",5
311,"Workshop Proceedings of the 40th International Conference on Logic Programming (ICLP-WS 2024) co-located with the 40th International Conference on Logic Programming (ICLP 2024), Dallas, TX, USA, October 12th and 13th, 2024.",Semantic-Based Arguments Using Logic Programming Rewriting Systems,Semantic-Based Arguments Using Logic Programming Rewriting Systems,"Esteban Guerrero, Juan Carlos Nieves","Esteban Guerrero, Juan Carlos Nieves","Esteban Guerrero, Juan Carlos Nieves",2,2,10.1007/978-3-031-74209-5_21,iclp,2024,,,"Logic, Reasoning, and Knowledge","Rewriting, Computer science, Programming language, Logic programming, Logic program, Theoretical computer science","Rewriting, Computer science, Programming language, Logic programming, Logic program, Theoretical computer science",1
136,Probabilistic Active Goal Recognition.,Probabilistic Active Goal Recognition,Probabilistic Active Goal Recognition,"Chenyuan Zhang, Cristian Rojas Cardenas, Hamid Rezatofighi, Mor Vered, Buser Say","Chenyuan Zhang, Cristian Rojas Cardenas, Hamid Rezatofighi, Mor Vered, Buser Say","Chenyuan Zhang, C. Cárdenas, Hamid Rezatofighi, Mor Vered, Buser Say",5,5,10.24963/kr.2025/85,kr,2025,"<jats:p>In multi-agent environments, effective interaction hinges on understanding the beliefs and intentions of other agents. While prior work on goal recognition has largely treated the observer as a passive reasoner, Active Goal Recognition (AGR) focuses on strategically gathering information to reduce uncertainty. We adopt a probabilistic framework for AGR and propose an integrated solution that combines a joint belief update mechanism with a Monte Carlo Tree Search (MCTS) algorithm, allowing the observer to plan efficiently and infer the actor's hidden goal without requiring domain-specific knowledge. Through comprehensive empirical evaluation in a grid-based domain, we show that our joint belief update significantly outperforms passive goal recognition, and that our domain-independent MCTS performs comparably to our strong domain-specific greedy baseline. These results establish our solution as a practical and robust framework for goal inference, advancing the field toward more interactive and adaptive multi-agent systems.</jats:p>","In multi-agent environments, effective interaction hinges on understanding the beliefs and intentions of other agents. While prior work on goal recognition has largely treated the observer as a passive reasoner, Active Goal Recognition (AGR) focuses on strategically gathering information to reduce uncertainty. We adopt a probabilistic framework for AGR and propose an integrated solution that combines a joint belief update mechanism with a Monte Carlo Tree Search (MCTS) algorithm, allowing the observer to plan efficiently and infer the actor's hidden goal without requiring domain-specific knowledge. Through comprehensive empirical evaluation in a grid-based domain, we show that our joint belief update significantly outperforms passive goal recognition, and that our domain-independent MCTS performs comparably to our strong domain-specific greedy baseline. These results establish our solution as a practical and robust framework for goal inference, advancing the field toward more interactive and adaptive multi-agent systems.",AI-based Problem Solving and Planning,"Probabilistic logic, Observer (physics), Field (mathematics), A priori and a posteriori, Tree (set theory), Exploit, Joint (building), Greedy algorithm","Probabilistic logic, Computer science, Machine learning, Artificial intelligence, Observer (physics), Field (mathematics), A priori and a posteriori, Tree (set theory), Exploit, Joint (building), Greedy algorithm, Plan (archaeology), Monte Carlo tree search, Activity recognition, Decision tree, Construct (python library), Empirical research, Task analysis, Statistical model, Data mining, Matching (statistics)",5
41,Heuristic Strategies for Accelerating Multi-Agent Epistemic Planning.,Heuristic Strategies for Accelerating Multi-Agent Epistemic Planning,Heuristic Strategies for Accelerating Multi-Agent Epistemic Planning,"Biqing Fang, Fangzhen Lin","Biqing Fang, Fangzhen Lin","Biqing Fang, Fangzhen Lin",2,2,10.24963/kr.2024/32,kr,2024,"<jats:p>Multi-agent epistemic planning (MEP) is about achieving an epistemic goal in a multi-agent environment using agents’ actions that have epistemic preconditions and effects. Recently, MEP has received interest from both the dynamic logic and planning communities, leading to the development of several innovative planners. One such state of the art planner is MEPK.  In this paper, we propose two novel strategies to enhance the search methods within MEPK. Our first strategy, the enhancement strategy, dynamically updates the heuristic based on the search path to the first goal-reachable node, potentially reducing the number of nodes that need to be explored to find a solution. Our second, the belief lock strategy, prevents the planner from continuing to search a particular state that cannot progress to a goal state due to the possession by an agent of a certain belief. Our experiments on existing benchmarks show that the new strategies can indeed accelerate the problem solving. We also construct new harder instances and demonstrate that our strategies significantly improve the performance on these hard benchmarks. Overall, we consider our new planner a significant improvement over the existing one in terms of computational efficiency.</jats:p>","Multi-agent epistemic planning (MEP) is about achieving an epistemic goal in a multi-agent environment using agents’ actions that have epistemic preconditions and effects. Recently, MEP has received interest from both the dynamic logic and planning communities, leading to the development of several innovative planners. One such state of the art planner is MEPK. In this paper, we propose two novel strategies to enhance the search methods within MEPK. Our first strategy, the enhancement strategy, dynamically updates the heuristic based on the search path to the first goal-reachable node, potentially reducing the number of nodes that need to be explored to find a solution. Our second, the belief lock strategy, prevents the planner from continuing to search a particular state that cannot progress to a goal state due to the possession by an agent of a certain belief. Our experiments on existing benchmarks show that the new strategies can indeed accelerate the problem solving. We also construct new harder instances and demonstrate that our strategies significantly improve the performance on these hard benchmarks. Overall, we consider our new planner a significant improvement over the existing one in terms of computational efficiency.",Multi-Agent Systems and Negotiation,"Heuristic, Computer science, Artificial intelligence, Epistemology, Philosophy","Heuristic, Computer science, Artificial intelligence, Epistemology, Philosophy",1
235,Succinctness and Complexity of ALC with Counting Perceptrons.,Succinctness and Complexity of ALC with Counting Perceptrons,Succinctness and Complexity of ALC with Counting Perceptrons,"Pietro Galliani, Oliver Kutz, Nicolas Troquard","Pietro Galliani, Oliver Kutz, Nicolas Troquard","Pietro Galliani, Oliver Kutz, Nicolas Troquard",3,3,10.24963/kr.2023/29,kr,2023,"<jats:p>Perceptron operators have been introduced to knowledge representation languages such as description logics in order to define concepts by listing features with associated weights and by giving a threshold. Semantically, an individual then belongs to such a concept if the weighted sum of the listed features it belongs to reaches that threshold. Such operators have been subsequently applied to cognitively-motivated modelling scenarios and to building bridges between learning and reasoning. However, they suffer from the basic limitation that they cannot consider the weight or number of role fillers. This paper introduces an extension of the basic  perceptron operator language to address this shortcoming, defining the language ALCP and answering some basic questions regarding the succinctness and complexity of the new language. Namely, we show firstly that in ALCP+, when weights are positive, the language is expressively equivalent to ALCQ, whilst it is strictly more expressive in the general case allowing also negative weights. Secondly, ALCP+  is shown to be strictly more succinct than ALCQ. Thirdly, capitalising on results concerning the logic ALCSCC, we show that despite the added expressivity,  reasoning in ALCP remains EXPTIME-complete.</jats:p>","Perceptron operators have been introduced to knowledge representation languages such as description logics in order to define concepts by listing features with associated weights and by giving a threshold. Semantically, an individual then belongs to such a concept if the weighted sum of the listed features it belongs to reaches that threshold. Such operators have been subsequently applied to cognitively-motivated modelling scenarios and to building bridges between learning and reasoning. However, they suffer from the basic limitation that they cannot consider the weight or number of role fillers. This paper introduces an extension of the basic perceptron operator language to address this shortcoming, defining the language ALCP and answering some basic questions regarding the succinctness and complexity of the new language. Namely, we show firstly that in ALCP+, when weights are positive, the language is expressively equivalent to ALCQ, whilst it is strictly more expressive in the general case allowing also negative weights. Secondly, ALCP+ is shown to be strictly more succinct than ALCQ. Thirdly, capitalising on results concerning the logic ALCSCC, we show that despite the added expressivity, reasoning in ALCP remains EXPTIME-complete.",Semantic Web and Ontologies,"Succinctness, Perceptron, Computer science, Operator (biology), Theoretical computer science, Knowledge representation and reasoning, Artificial intelligence, Representation (politics), Natural language processing, Artificial neural network","Succinctness, Perceptron, Computer science, Operator (biology), Theoretical computer science, Knowledge representation and reasoning, Artificial intelligence, Representation (politics), Natural language processing, Artificial neural network, Biochemistry, Gene, Transcription factor, Political science, Chemistry, Politics, Repressor, Law",3
518,Action Languages and COVID-19: Lessons Learned.,10. Lessons Learned,10. Lessons Learned,,,Barbara Katz Rothman,0,1,10.1515/9781503629882-011,iclp,2020,,,"Cyprus History, Politics, Society",Computer science,Computer science,2
403,"Flexible, Lifelong, Explainable, and Robust Solutions for Multi-Agent Path Finding Problems.","Flexible, Lifelong, Explainable, and Robust Solutions for Multi-Agent Path Finding Problems","Flexible, Lifelong, Explainable, and Robust Solutions for Multi-Agent Path Finding Problems",Aysu Bogatarkan,Aysu Bogatarkan,Aysu Bogatarkan,1,1,10.1609/aaai.v40i48.42143,iclp,2025,"<jats:p>The multi-agent path finding (MAPF) problem is a combinatorial search problem that aims at finding paths for multiple agents in an environment without collisions, subject to constraints on the lengths of paths. The real-world applications of MAPF require flexible, lifelong, robust and explainable solutions. In this study, these challenges are being addressed.</jats:p>","The multi-agent path finding (MAPF) problem is a combinatorial search problem that aims at finding paths for multiple agents in an environment without collisions, subject to constraints on the lengths of paths. The real-world applications of MAPF require flexible, lifelong, robust and explainable solutions. In this study, these challenges are being addressed.",Robotic Path Planning Algorithms,"Path (computing), Minification, Subject (documents), Optimization problem, Robustness (evolution)","Path (computing), Mathematical optimization, Computer science, Mathematics, Algorithm, Minification, Subject (documents), Optimization problem, Robustness (evolution), Key (lock), Constraint (computer-aided design), Theoretical computer science",4
569,Planning Domain Model Acquisition from State Traces without Action Parameters.,Planning Domain Model Acquisition from State Traces without Action Parameters,Planning Domain Model Acquisition from State Traces without Action Parameters,"Tomáš Balyo, Martin Suda, Lukáš Chrpa, Dominik Šafránek, Stephan Gocht, Filip Dvořák, Roman Barták, G. Michael Youngblood","Tomáš Balyo, Martin Suda, Lukáš Chrpa, Dominik Šafránek, Stephan Gocht, Filip Dvořák, Roman Barták, G. Michael Youngblood","Tomáš Balyo, Martin Suda, Lukáš Chrpa, Dominik Šafránek, Stephan Gocht, Filip Dvořák, Roman Barták, G. Michael Youngblood",8,8,10.24963/kr.2024/76,kr,2024,"<jats:p>Existing planning action domain model acquisition approaches consider different types of state traces from which they learn. The differences in state traces refer to the level of observability of state changes (from full to none) and whether the observations have some noise (the state changes might be inaccurately logged). However, to the best of our knowledge, all the existing approaches consider state traces in which each state change corresponds to an action specified by its name and all its parameters (all objects that are relevant to the action). Furthermore, the names and types of all the parameters of the actions to be learned are given. These assumptions are too strong.



In this paper, we propose a method that learns action schema from state traces with fully observable state changes but without the parameters of actions responsible for the state changes (only action names are part of the state traces). Although we can easily deduce the number (and names) of the actions that will be in the learned domain model, we still need to deduce the number and types of the parameters of each action alongside its precondition and effects. We show that this task is at least as hard as graph isomorphism. However, our experimental evaluation on a large collection of IPC benchmarks shows that our approach is still practical as the number of required parameters is usually small.



Compared to the state-of-the-art learning tools SAM and Extended SAM our new algorithm can provide better results in terms of learning action models more similar to reference models, even though it uses less information and has fewer restrictions on the input traces.</jats:p>","Existing planning action domain model acquisition approaches consider different types of state traces from which they learn. The differences in state traces refer to the level of observability of state changes (from full to none) and whether the observations have some noise (the state changes might be inaccurately logged). However, to the best of our knowledge, all the existing approaches consider state traces in which each state change corresponds to an action specified by its name and all its parameters (all objects that are relevant to the action). Furthermore, the names and types of all the parameters of the actions to be learned are given. These assumptions are too strong. In this paper, we propose a method that learns action schema from state traces with fully observable state changes but without the parameters of actions responsible for the state changes (only action names are part of the state traces). Although we can easily deduce the number (and names) of the actions that will be in the learned domain model, we still need to deduce the number and types of the parameters of each action alongside its precondition and effects. We show that this task is at least as hard as graph isomorphism. However, our experimental evaluation on a large collection of IPC benchmarks shows that our approach is still practical as the number of required parameters is usually small. Compared to the state-of-the-art learning tools SAM and Extended SAM our new algorithm can provide better results in terms of learning action models more similar to reference models, even though it uses less information and has fewer restrictions on the input traces.",AI-based Problem Solving and Planning,"Computer science, Domain model, Domain (mathematical analysis), Action (physics), State (computer science), Domain analysis, Artificial intelligence, Algorithm, Domain knowledge, Programming language, Mathematics, Physics","Computer science, Domain model, Domain (mathematical analysis), Action (physics), State (computer science), Domain analysis, Artificial intelligence, Algorithm, Domain knowledge, Programming language, Mathematics, Physics, Software, Mathematical analysis, Quantum mechanics, Software construction, Software system",1
342,CHRvis: Syntax and Semantics.,Syntax and Semantics,Syntax and Semantics,,,,0,0,10.1016/s0092-4563(08)36021-8,iclp,2018,,,"Syntax, Semantics, Linguistic Variation","Syntax, Computer science, Programming language, Semantics (computer science), Linguistics, Natural language processing, Philosophy","Syntax, Computer science, Programming language, Semantics (computer science), Linguistics, Natural language processing, Philosophy",1
